"TARGET_deathRate","Geography","incidenceRate","popEst2015","BirthRate","medIncome","povertyPercent","studyPerCap","MedianAge","MedianAgeMale","MedianAgeFemale","AvgHouseholdSize","PercentMarried","PctEmployed16_Over","PctUnemployed16_Over","PctWhite","PctBlack","PctAsian","PctOtherRace"
164.9,"Kitsap County, Washington",489.8,260131,6.118831029,61898,11.2,499.7482038,39.3,36.9,41.7,2.54,52.5,51.9,8,81.78052858,2.594728333,4.821857102,1.843478533
161.3,"Kittitas County, Washington",411.6,43269,4.333095578,48127,18.6,23.11123437,33,32.2,33.7,2.34,44.5,55.9,7.8,89.22850915,0.969102455,2.246232585,3.741351531
174.7,"Klickitat County, Washington",349.7,21026,3.729487817,49348,14.6,47.56016361,45,44,45.8,2.62,54.2,45.9,7,90.9221902,0.739673391,0.465898175,2.747358309
176,"Mason County, Washington",505.4,61023,4.964476021,52313,15.6,180.259902,45.4,43.5,48,2.58,50.4,44.1,12.9,84.88263065,1.653205244,1.53805662,3.31463539
175.9,"Okanogan County, Washington",461.8,41516,4.204317269,37782,23.2,0,42.6,42.2,43.5,2.42,54.1,51.8,8.9,75.10645505,0.616955386,0.866156973,8.356721185
190.5,"Pend Oreille County, Washington",459.4,13088,5.587583149,42579,22.3,0,49.3,48.4,49.8,2.38,55.9,39.5,10.3,91.78747687,0.185070944,0.208204812,0.616903146
177.8,"Pierce County, Washington",510.9,843954,5.533430211,60397,13.1,427.7484318,35.8,34.7,37,2.65,50,56.6,9.2,74.72966791,6.710854162,6.041472008,2.699184381
172.7,"Skagit County, Washington",499.3,121846,5.818153266,51395,15.7,837.1222691,41,40,42.2,2.56,53.6,NA,8.2,85.59027341,0.806079954,1.887835902,6.226590583
188.3,"Skamania County, Washington",398.9,11339,4.805591962,52673,12.6,0,45.2,44.9,45.5,2.49,54.4,51.5,8.3,93.41812683,0.844970204,0.978386552,0.773814818
165.3,"Snohomish County, Washington",493.4,772501,4.729251068,71890,9.9,138.5111476,37.6,36.6,38.7,2.68,52.1,62.1,7.5,78.83273756,2.595851085,9.51151338,2.252719804
171,"Spokane County, Washington",440.7,490945,5.355835918,50083,16.3,462.3735856,37.2,35.7,38.7,2.45,49.4,55.1,8.4,89.03816718,1.827041461,2.315985625,1.03362505
169.9,"Thurston County, Washington",495.9,269536,5.180155167,61653,11.9,207.7644545,38.5,37.1,39.9,2.52,52.4,56.5,8.5,82.58622199,2.839873174,5.83580425,1.226386727
