"qid","question","answer_num","answer","percentage"
"50","What word(s) do you use to address a group of two or more people?",1,"you all",12.63
"50","What word(s) do you use to address a group of two or more people?",2,"yous, youse",0.67
"50","What word(s) do you use to address a group of two or more people?",3,"you lot",0.18
"50","What word(s) do you use to address a group of two or more people?",4,"you guys",42.53
"50","What word(s) do you use to address a group of two or more people?",5,"you 'uns",0.2
"50","What word(s) do you use to address a group of two or more people?",6,"yins",0.37
"50","What word(s) do you use to address a group of two or more people?",7,"you",24.82
"50","What word(s) do you use to address a group of two or more people?",8,"other",4.62
"50","What word(s) do you use to address a group of two or more people?",9,"y'all ",13.99
"51","Would you say 'Are you coming with?' as a full sentence, to mean 'Are you coming with us?'",1,"yes",38.01
"51","Would you say 'Are you coming with?' as a full sentence, to mean 'Are you coming with us?'",2,"no",60.12
"51","Would you say 'Are you coming with?' as a full sentence, to mean 'Are you coming with us?'",3,"other ",1.87
"52","Would you say 'where are you at?' to mean 'where are you?'",1,"yes",33.99
"52","Would you say 'where are you at?' to mean 'where are you?'",2,"no",35.61
"52","Would you say 'where are you at?' to mean 'where are you?'",3,"I can use ""where are you at"" in contexts such as asking someone how s/he is coming along on a project, but not in the general sense of ""where are you physically located in the world at this moment"". ",30.4
"53","Modals are words like 'can,' 'could,' 'might,' 'ought to,' and so on. Can you use more than one modal at a time? (e.g., 'I might could do that' to mean 'I might be able to do that'; or 'I used to could do that' to mean 'I used to be able to do that')",1,"yes (please consider adding which combinations of modals you use in the comments box)",11.51
"53","Modals are words like 'can,' 'could,' 'might,' 'ought to,' and so on. Can you use more than one modal at a time? (e.g., 'I might could do that' to mean 'I might be able to do that'; or 'I used to could do that' to mean 'I used to be able to do that')",2,"no",87.68
"53","Modals are words like 'can,' 'could,' 'might,' 'ought to,' and so on. Can you use more than one modal at a time? (e.g., 'I might could do that' to mean 'I might be able to do that'; or 'I used to could do that' to mean 'I used to be able to do that')",3,"other ",0.81
"54","He used to nap on the couch, but he sprawls out in that new lounge chair anymore",1,"this use of ""anymore"" is acceptable",4.98
"54","He used to nap on the couch, but he sprawls out in that new lounge chair anymore",2,"this use of ""anymore"" is unacceptable",92.89
"54","He used to nap on the couch, but he sprawls out in that new lounge chair anymore",3,"not sure ",2.13
"55","I do exclusively figurative paintings anymore",1,"acceptable ",5.41
"55","I do exclusively figurative paintings anymore",2,"unacceptable ",91.56
"55","I do exclusively figurative paintings anymore",3,"not sure ",3.03
"56","Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.",1,"acceptable ",29.23
"56","Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.",2,"unacceptable ",67.26
"56","Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.",3,"not sure ",3.51
"57","Forget the nice clothes anymore (referring to babies eating messily after a certain age)",1,"acceptable ",22.08
"57","Forget the nice clothes anymore (referring to babies eating messily after a certain age)",2,"unacceptable ",70.17
"57","Forget the nice clothes anymore (referring to babies eating messily after a certain age)",3,"not sure ",7.75
"58","Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",1,"tag sale ",3.6
"58","Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",2,"yard sale ",36.41
"58","Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",3,"garage sale ",52.17
"58","Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",4,"rummage sale ",3.1
"58","Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",5,"thrift sale ",0.13
"58","Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",6,"stoop sale ",0.39
"58","Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",7,"carport sale ",0.05
"58","Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",8,"sidewalk sale ",0.2
"58","Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",9,"jumble (sale) ",0.1
"58","Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",10,"car boot sale ",0.05
"58","Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",11,"car boot ",0
"58","Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",12,"patio sale ",0.07
"58","Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",13,"other ",3.72
"59","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",1,"mumblety-peg",8.07
"59","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",2,"mumbledy-peg",8.69
"59","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",3,"mumbly peg",10.84
"59","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",4,"mumbly pegs",0.47
"59","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",5,"mumblely peg (with 2 l's)",1.81
"59","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",6,"mumble peg",0.23
"59","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",7,"mummety-peg",0.02
"59","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",8,"mumble-the-peg",0
"59","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",9,"fumbledy peg",0
"59","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",10,"numblety peg",0.22
"59","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",11,"peggy",0.02
"59","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",12,"baseball jackknife",0.16
"59","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",13,"stick-knife",1.01
"59","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",14,"stick-frog",0.16
"59","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",15,"stretch",1.14
"59","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",16,"chicken",2.94
