"track_name","artist(s)_name","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","major_key","danceability","valence","energy","acousticness","instrumentalness","liveness","speechiness","streams","streams_per_month"
"Seven (feat. Latto) (Explicit Ver.)","Latto, Jung Kook",2,2023,7,14,553,147,43,263,45,10,826,125,1,80,89,83,31,0,8,4,141381703,25550910.1807229
"LALA","Myke Towers",1,2023,3,23,1474,48,48,126,58,14,382,92,1,71,61,74,7,0,10,4,133716286,14481908.2310469
"vampire","Olivia Rodrigo",1,2023,6,30,1397,113,94,207,91,14,949,138,1,51,32,53,17,0,31,6,140003974,23333995.6666667
"Cruel Summer","Taylor Swift",1,2019,8,23,7858,100,116,207,125,12,548,170,1,55,58,72,11,0,11,15,800840817,66736734.75
"WHERE SHE GOES","Bad Bunny",1,2023,5,18,3133,50,84,133,87,15,425,144,0,65,23,80,14,63,11,6,303236322,40977881.3513514
"Sprinter","Dave, Central Cee",2,2023,6,1,2186,91,67,213,88,17,946,141,1,92,66,58,19,0,8,24,183706234,26369315.8851675
"Ella Baila Sola","Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,34,222,43,13,418,148,0,67,83,76,48,0,8,3,725980112,76688040
"Columbia","Quevedo",1,2023,7,7,714,43,25,89,30,13,194,100,1,67,26,71,37,0,11,4,58149378,10083707.1676301
"fukumean","Gunna",1,2023,5,15,1096,83,60,210,48,11,953,130,0,85,22,62,12,0,28,9,95217315,12695642
"La Bebe - Remix","Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,49,110,66,13,339,170,0,81,56,48,21,0,8,33,553634067,58689123.7102473
"un x100to","Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,41,205,54,12,251,83,0,57,56,72,23,0,27,5,505671438,59961040.0790514
"Super Shy","NewJeans",1,2023,7,7,422,55,37,202,21,5,168,150,0,78,52,82,18,0,15,7,58255150,10102049.132948
"Flowers","Miley Cyrus",1,2023,1,12,12211,115,300,215,745,58,1021,118,1,71,65,68,6,0,3,7,1316855716,113522044.482759
"Daylight","David Kushner",1,2023,4,14,3528,98,80,156,182,24,1281,130,0,51,32,43,83,0,9,3,387570742,45418446.328125
"As It Was","Harry Styles",1,2022,3,31,23575,130,403,198,863,46,0,174,0,52,66,73,34,0,31,6,2513188493,209432374.416667
"Kill Bill","SZA",1,2022,12,8,8109,77,183,162,161,12,187,89,1,64,43,73,5,17,16,4,1163093654,96924471.1666667
"Cupid - Twin Ver.","Fifty Fifty",1,2023,2,24,2942,77,91,212,78,6,0,120,0,78,76,59,43,0,34,3,496795686,48705459.4117647
"What Was I Made For? [From The Motion Picture ""Barbie""]","Billie Eilish",1,2023,7,13,873,104,80,227,95,24,1173,78,1,44,14,9,96,0,10,3,30546883,5487464.01197605
"Classy 101","Feid, Young Miko",2,2023,3,31,2610,40,43,100,54,14,187,100,1,86,67,66,14,0,12,16,335222234,37385379.2565056
"Like Crazy","Jimin",1,2023,3,24,596,68,8,104,23,2,29,120,1,63,36,73,0,0,36,4,363369738,39496710.6521739
"LADY GAGA","Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,11,163,10,4,0,140,0,65,87,74,22,0,42,4,86444842,13794389.6808511
"I Can See You (Taylors Version) (From The","Taylor Swift",1,2023,7,7,516,38,73,119,42,1,150,123,1,69,82,76,6,0,6,3,52135248,9040794.45086705
"I Wanna Be Yours","Arctic Monkeys",1,2013,1,1,12859,110,24,98,582,2,73,135,0,48,44,42,12,2,11,3,1297026226,108085518.833333
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,17,152,32,11,139,133,0,85,81,67,26,0,12,5,200647221,28801036.507177
"Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series)","The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,74,182,87,14,1093,99,1,85,83,68,7,0,36,20,115364561,16639119.375
"SABOR FRESA","Fuerza Regida",1,2023,6,22,250,26,16,149,10,5,168,130,0,79,96,86,9,0,9,9,78300654,12494785.212766
"Calm Down (with Selena Gomez)","Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,202,119,318,38,96,107,1,80,82,80,43,0,14,4,899183384,74931948.6666667
"MOJABI GHOST","Tainy, Bad Bunny",2,2023,6,29,859,40,35,109,41,14,211,122,0,81,74,71,14,0,56,4,61245289,10151152.8729282
"Last Night","Morgan Wallen",1,2023,1,31,2420,19,52,107,15,1,325,204,1,52,52,68,46,0,15,4,429829812,39194207.781155
"Dance The Night (From Barbie The Album)","Dua Lipa",1,2023,5,25,2988,101,0,0,143,38,0,110,0,67,78,85,2,0,33,5,127408954,17777993.5813953
